color,red,green,blue
red,139,0,0
red,165,42,42
red,178,34,34
red,220,20,60
red,255,0,0
red,255,99,71
red,255,127,80
red,205,92,92
red,240,128,128
red,233,150,122
red,250,128,114
red,255,160,122
red,255,69,0
red,255,140,0
red,255,165,0
green,128,128,0
green,154,205,50
green,85,107,47
green,107,142,35
green,124,252,0
green,127,255,0
green,173,255,47
green,0,100,0
green,0,128,0
green,34,139,34
green,0,255,0
green,50,205,50
green,144,238,144
green,152,251,152
green,143,188,143
green,0,250,154
green,0,255,127
green,46,139,87
green,60,179,113
green,32,178,170
black,47,79,79
white,224,255,255
blue,176,224,230
blue,70,130,180
blue,100,149,237
blue,0,191,255
blue,30,144,255
blue,173,216,230
blue,135,206,235
blue,135,206,250
blue,25,25,112
blue,0,0,128
blue,0,0,139
blue,0,0,205
blue,0,0,255
blue,65,105,225
blue,138,43,226
blue,75,0,130
blue,72,61,139
blue,106,90,205
blue,123,104,238
blue,147,112,219
blue,148,0,211
blue,153,50,204
red,255,20,147
white,250,235,215
white,245,245,220
white,255,248,220
white,255,250,205
white,250,250,210
white,255,255,224
white,253,245,230
white,255,239,213
white,255,245,238
white,245,255,250
blue,176,196,222
white,230,230,250
white,255,250,240
white,240,248,255
white,248,248,255
white,240,255,240
white,255,255,240
white,240,255,255
white,255,250,250
black,0,0,0
white,211,211,211
white,220,220,220
white,245,245,245
white,255,255,255
black,27,20,20
black,11,1,1
black,20,14,1
black,9,9,9
black,13,0,0
black,57,56,56
black,38,35,35
black,26,16,16
